Timestamp,Raw,Voltage
2025-09-22 00:38:02.179146,976,0.79
2025-09-22 00:38:02.279231,247,0.2
2025-09-22 00:38:02.381238,317,0.26
2025-09-22 00:38:02.479085,907,0.73
2025-09-22 00:38:02.580229,666,0.54
2025-09-22 00:38:02.680185,4095,3.3
2025-09-22 00:38:02.781136,1006,0.81
2025-09-22 00:38:02.879122,138,0.11
2025-09-22 00:38:02.979229,462,0.37
2025-09-22 00:38:03.079113,359,0.29
2025-09-22 00:38:03.179238,320,0.26
2025-09-22 00:38:03.279170,578,0.47
2025-09-22 00:38:03.379080,314,0.25
2025-09-22 00:38:03.479087,170,0.14
2025-09-22 00:38:03.579083,304,0.24
2025-09-22 00:38:03.679220,225,0.18
2025-09-22 00:38:03.779082,156,0.13
2025-09-22 00:38:03.879220,467,0.38
2025-09-22 00:38:03.979226,230,0.19
2025-09-22 00:38:04.079080,268,0.22
2025-09-22 00:38:04.179104,237,0.19
2025-09-22 00:38:04.279096,303,0.24
2025-09-22 00:38:04.379219,372,0.3
2025-09-22 00:38:04.479082,293,0.24
2025-09-22 00:38:04.579085,174,0.14
2025-09-22 00:38:04.679248,261,0.21
2025-09-22 00:38:04.779083,638,0.51
2025-09-22 00:38:04.879161,356,0.29
2025-09-22 00:38:04.979233,276,0.22
2025-09-22 00:38:05.079226,415,0.33
2025-09-22 00:38:05.179103,209,0.17
2025-09-22 00:38:05.279132,247,0.2
2025-09-22 00:38:05.379081,471,0.38
2025-09-22 00:38:05.479092,250,0.2
2025-09-22 00:38:05.579081,437,0.35
2025-09-22 00:38:05.679144,222,0.18
2025-09-22 00:38:05.779081,112,0.09
2025-09-22 00:38:05.879245,122,0.1
2025-09-22 00:38:05.979083,193,0.16
2025-09-22 00:38:06.078064,48,0.04
2025-09-22 00:38:06.179087,718,0.58
2025-09-22 00:38:06.278103,49,0.04
2025-09-22 00:38:06.379093,272,0.22
2025-09-22 00:38:06.479081,417,0.34
2025-09-22 00:38:06.579202,382,0.31
2025-09-22 00:38:06.679227,287,0.23
2025-09-22 00:38:06.779272,191,0.15
2025-09-22 00:38:06.878075,93,0.07
2025-09-22 00:38:06.979083,504,0.41
2025-09-22 00:38:07.079228,142,0.11
2025-09-22 00:38:07.179131,144,0.12
2025-09-22 00:38:07.279181,194,0.16
2025-09-22 00:38:07.379229,311,0.25
